;id;created_at;text;sentiment
27;538661;2020-06-16 18:29:18+00:00;"#OfficeSupply orders up significantly as #USA shifted to #workfromhome.

See more data: https://t.co/W29QPIicmd

#Covid19 #alternativedata #HomeOffice #OfficeDepot #OfficeMax #Shopping #Staples #FedExKinkos #USPS #DHL #TNTExpress $ODP $CIO $FDX $UPS $HPP $HIW $HYG $AMZN $EBAY $M https://t.co/mx1GzTY6wo";positive
997;875393;2020-07-13 18:30:22+00:00;"Today's purchases in my TFSA with @Questrade. No commission ETF purchases means I can buy any amount I want and not worry about fees.

#stocks #etfs #personalfinance https://t.co/obDzdlnt0l";positive
309;792586;2020-07-07 20:30:36+00:00;REPORT: Facebook fails to win over ad boycott organizers $FB https://t.co/csoywrk0MP;negative
396;144689;2020-04-21 14:00:56+00:00;#SAP $SAP Q1 EPS €0.85 Misses €0.94 Estimate, Revenues €6.52B Miss €6.53B Estimate. Shares 🔻3.54% to $118.22 #earnings #earningsreports #EarningsSeason #stocks #StockMarket #stockstowatch #StocksToTrade #stock #StockTrading #investing #finance https://t.co/YcCtCSZzuD;neutral
1190;64854;2020-04-15 20:36:03+00:00;"$JNJ, $PG, & now $COST.

Strong companies continuing to increase their dividends during all of this.

Awesome!";positive
1172;636477;2020-06-24 20:18:11+00:00;$SPY $SPX sold @ $16.34 +20% https://t.co/dScnIEoAe5;negative
919;367183;2020-05-31 16:05:08+00:00;"RT @danielnewmanUV: New @SixFivePodcast is live with @PatrickMoorhead and I.
This week we dive into:
1. @Microsoft BUILD
2. @HPE #Earnings…";neutral
708;129362;2020-04-20 15:52:56+00:00;"RT @BlogJulianKomar: Here is how I find great #stocks:

1) Exploding price or volume catches my attention
2) Look at the weekly stock chart…";neutral
1299;625070;2020-06-23 15:47:11+00:00;GLG Partners LP short position in HILTON FOOD GROUP PLC down -0.13% to 0.76% #HFG $HFG #LSE #StockMarket #Stocks #Shares #Business #Markets #Trading #News #Investing #ShortSqueeze https://t.co/vM411LdLkR;negative
427;416407;2020-06-04 11:04:37+00:00;RT @mchaudhry82: Thursday’s 👀2: $QQQ $SPY $UVXY $TVIX $TSLA $NFLX $MSFT $NVDA $MU $SNAP $PYPL $SQ $TWLO $TWTR $V $ZM $ROKU $TXN $WORK $ZUO…;neutral
246;678456;2020-06-26 05:00:06+00:00;Great chart by @BTstocktrading !! $AMZN https://t.co/n1ZJQERYa7;positive
737;737617;2020-07-01 13:16:19+00:00;$PFE #BioNTech #BNT162 #SARSCoV2 #COVID19 #vaccines. $BNTX closing price today.;negative
1290;170603;2020-04-23 17:11:06+00:00;$GOOG #patent 20200127702 Data over Power Line Design #tech #IP #research https://t.co/0AnI8JcFQ3;neutral
457;840922;2020-07-10 19:58:12+00:00;$9,800 total gain this week! Holding some contracts of $TSLA and $AMZN for next week. Thank you @EliteOptions2 @BeastModeTrades  for the continued valuable service. The levels and guidance are greatly appreciated. Have a good weekend everyone! 🙏👩🏻‍💻📉📈🚀💵 #OptionsTrading https://t.co/1T1qucZnf8;positive
589;863308;2020-07-12 22:50:00+00:00;Dow futures rise 150 points as investors shake off a continued spike in coronavirus cases https://t.co/8EJft64zoT #markets #Dow #futures #stocks $SPX #investing #trading #coronavirus #optimism #profits #corporates;positive
720;597933;2020-06-21 22:49:05+00:00;Grand Canyon Education Inc $LOPE Short Interest Update https://t.co/E99nrOLrGp #stocks;positive
861;331056;2020-05-09 15:33:45+00:00;$spy $gspc $aapl $nflx $goog $tsla COVID-19 case tally: 3.97 million cases, 275,527 deaths  https://t.co/GvKAPtnitZ;neutral
1121;19612;2020-04-10 05:25:15+00:00;RT @Drugdoctor2014: $AYTU Bio $1.54 - it's $25  Rapid Test shows 39 of 39 positive results CONFIRMED with second test!  $SM $ECR $GPOR $CXO…;positive
941;130235;2020-04-20 14:53:58+00:00;"BOOKED @ 24010

Follow me for the Real Time Live trading signals 

#forexsignal #forexsignals #trading #forextrading #GBPCAD #daytrader #stocks #stockmarket #BitcoinCash #EURJPY #EURAUD #GBPCHF #Apple #coronavirus #COVID19";neutral
112;516629;2020-06-14 18:07:03+00:00;"$twtr $msft $amzn $qqq $fb $nflx $xspa $googl $mrna
$penn $nvda $aapl $spy $spx #Futures $bynd $mark $xspa
$tmdi #RobinhoodTraders #SundayThoughts #SundayMotivation #GenZ #Millennials #GenX @DelMonte
 #holarchy #wholeparts #turtlesupdown

Retweet if you are ""a part of"" humanity. https://t.co/HRt2RfDu6i";neutral
850;554305;2020-06-17 16:23:30+00:00;RT @Lakshmi_888: #Harmonics #Charts #trading $SPX #SPX #ES_F $ES $ES_F $SPY $DOW #DOW $RTY $RUT #DAX #FTSE $NQ #NQ https://t.co/umuS8WOIKE;neutral
239;650033;2020-06-25 21:55:16+00:00;Insider Selling: Stitch Fix Inc $SFIX Insider Sells 1,333 Shares of Stock https://t.co/T0Emfnja8v #stocks;negative
944;94099;2020-04-17 22:10:20+00:00;"RT @elerianm: Thanks.
With #Ford downgraded to junk on March 25, this fuels the debate on whether/how the #Fed should buy #HighYield #bonds…";negative
1159;245123;2020-04-29 17:59:20+00:00;"""Crawling from the Wreckage: US Stocks"" (4/13/20):  A review of previous major bear trends for the US stock marketplace going back about 125 years does not show a single trend which ended in one month. Will this time be different?  #stocks #coronavirus 
https://t.co/UulwqyHoPZ";negative
994;453543;2020-06-08 14:40:02+00:00;"$zion We have detected a noticeable rise in the Zeitgeist for Zions Bancorporation, N.A. at  https://t.co/odDXHRLnwL
Visit DataSwarm Markets for more information
#STOCKS #NASDAQ
DataSwarm ref: 101065";positive
37;927023;2020-07-16 19:18:42+00:00;"https://t.co/Pj9Gu287hf
$MA, $SAM   to Intraday_Trend_End.] https://t.co/O6wkep5G2a =";neutral
674;558914;2020-06-17 11:26:58+00:00;RT @AdamMancini4: We got the bounce to 3120 in $SPX and this has been the battle zone. Next up is ~3190 and this area is key being the down…;negative
689;875555;2020-07-13 18:21:01+00:00;"S&P 500 | $SPX | $SPX500 $USD

SPX500 showing mixed signals? The result of money print?

Long or short it with BTC on Trade8: https://t.co/7IRjHNUtDw https://t.co/ll2SKqJDbw";neutral
641;239880;2020-04-29 21:34:49+00:00;Ciner Resources $CINR Set to Announce Earnings on Monday https://t.co/NbHpMCDfHv #stocks;neutral
480;374592;2020-06-01 15:58:50+00:00;"RT @MMeatloaf7: CHINA TELLS STATE FIRMS TO HALT PURCHASES OF MAJOR U.S. FARM PRODUCTS

$spy $spx";negative
307;591430;2020-06-19 00:44:35+00:00;"$twtr $msft $amzn $qqq $fb $nflx $xspa $googl $mrna
$penn $nvda $aapl $spy $spx #Futures $bynd $mark $xspa
#ThursdayThoughts #thursdayvibes #Thursday 
@goldsworthy_art https://t.co/sd3FznTOem";neutral
254;513090;2020-06-13 05:45:58+00:00;River & Mercantile Asset Management Has $13.01 Million Stock Position in Johnson & Johnson $JNJ https://t.co/kS94rBNj0C;positive
970;456311;2020-06-08 10:56:41+00:00;Apache Co. $APA Given Consensus Rating of “Hold” by Analysts https://t.co/ahyp2cxFKb #stocks;neutral
1110;849266;2020-07-10 12:13:29+00:00;"RT @ISABELNET_SA: 🇨🇳 China Flows

Second largest weekly inflow into China ever. Is a new bubble in the making, as in 2015? 👉 https://t.co/J…";neutral
289;141240;2020-04-21 17:20:09+00:00;"A Boomer's Plea: https://t.co/HVe2unB8ig

Sector expert Michael Ballanger voices frustration with his own generation, which has ""turned a blind eye"" to the radical, fiscal and moral principles that shaped it.

#economy #stocks #investing  @MiningJunkie https://t.co/GwNcM1ZxFN";negative
818;430099;2020-06-05 10:20:09+00:00;"STOCKS RECOMMENDED BY US ON 11th MAY 2020.

Vodafone Idea Ltd
#VodafoneIdea #Idea 

#Stocktotrade #Stockstowatch #Stocks #StocksInNews #TopGainer #Stocks #stockmarket #stockinfocus #stockmarketnews #StockTrading https://t.co/L41nqnvqvZ https://t.co/LAjEowOgZL";positive
829;84221;2020-04-16 16:30:52+00:00;Went through $JPM $GS $WFC $BAC earnings transcripts, it seems like consumer side loans are pretty shaky. In terms of tier 1 ratio, $PNC and $BAC are a bit low.;positive
273;520409;2020-06-14 02:30:06+00:00;@vincent13031925 also 2013, but I sold. Also sold 6000 shares of $AMZN @ $4.50 in 1998. Like Ron Barron, I'm not making the same mistake with $TSLA this time.;negative
28;859923;2020-07-11 10:07:37+00:00;#stocks making it too easy at times.  #OptionsTrading is my new love and it’s here to stay! https://t.co/NaktOndY98;positive
1269;904087;2020-07-14 07:53:22+00:00;#KOTAKBANK drifting 1299. Reco at 1334 #Bse #Nse #nifty #banknifty #hedgefunds #fundmanagers #stocks #equity #trading #Traders #stockstowatch  #StockMarketindia #MarketScreener #Charts #technicalanalysis #elliottwaves  #OptionsTrading #markets #ETFs #ETF #index #algotrading https://t.co/Fv05QTLsbL;neutral
1297;254379;2020-04-29 02:21:50+00:00;RT @MawsonResource: Rompas-Rajapalot: A Big New Camp. Rajapalot average hole depth 136 metres (65.5km) 85% DDH in last 3 seasons. #HighGrad…;neutral
182;630602;2020-06-23 10:25:01+00:00;"$veon We have detected a noticeable rise in the Zeitgeist for VEON Ltd. Sponsored ADR at  https://t.co/pXf1KOyqlw
Visit DataSwarm Markets for more information
#STOCKS #NASDAQ
DataSwarm ref: 102672";positive
251;599456;2020-06-21 18:28:06+00:00;Anthem Inc $ANTM Sees Large Drop in Short Interest https://t.co/Mygtp433Yu #stocks;negative
813;583783;2020-06-19 15:19:09+00:00;Short Interest in Utah Medical Products, Inc. $UTMD Increases By 20.7% https://t.co/fvFLHPeXae #stocks;positive
498;684901;2020-06-27 10:48:53+00:00;RT @BWUIC: $AAPL $AAPL $GOOG - DOJ's Apple probe focusing on App Store payment rules - Bloomberg https://t.co/L23LWK2bHy;neutral
965;78786;2020-04-16 22:59:24+00:00;Canada Goose Holdings Inc $GOOS Given Consensus Rating of “Buy” by Brokerages https://t.co/x5LeZOznur #stocks;positive
1199;354488;2020-05-29 14:17:00+00:00;May 29 Friday, $PEP LOW is $130.91 and hit Bearish target $131.11🤙;negative
384;61851;2020-04-14 03:44:25+00:00;I have not seen many people/funds bearish $spx  it is the majority that think it’s going to ATH but it’s ok because of Fed.  $spy $qqq $iwm;negative
972;830357;2020-07-09 14:30:54+00:00;RT @AlertTrade: #algotrading #algotrade $SPX $SPY $AMZN $AAPL $FB $SHOP $NVDA $GOOGL $PAYX $ASPU $SMPL $WBA $BBBY $LEVI $SGH $MSM $HELE $AZ…;neutral
102;668829;2020-06-26 18:16:05+00:00;"RT @Investingcom: *BREAKING:

*FACEBOOK SHARES TUMBLE 8% AMID ADS BOYCOTT

$FB https://t.co/2fTlsYo3l2";negative
630;151904;2020-04-22 22:13:21+00:00;"RT @WingGirlTrade: If you trade stocks long or short. Trade Ideas FREE trading room is the place to navigate trading today.

Moderator Barr…";neutral
556;905184;2020-07-14 04:38:43+00:00;RT @chhlss: Everyone who sold $AMZN at $2,000 https://t.co/zNX3VuBb9v;neutral
677;93981;2020-04-17 22:19:40+00:00;RT @KobesyTrades: $DJI closing over 24K and 200ema on weekly with a green hammer 🔨 ... hard to be super bearish #equities with current char…;positive
283;693851;2020-06-28 06:59:45+00:00;"RT @anuragchawla32: Did you know which stocks comes under Bank Nifty?

Here is the breakup of Bank Nifty for better understanding which sto…";positive
1296;739234;2020-07-01 11:29:10+00:00;"RT @MacroCharts: Breadth – expanding last week's discussion:

More than half of $SPX Stocks are still down >20% from their highs.

Other in…";positive
1091;808033;2020-07-08 20:39:33+00:00;$AAPL Steady...... Steady.... Easy does it now. Think we can put on another 80 before she tumbles. https://t.co/OVrCyZY3ly;positive
916;225957;2020-04-28 20:08:33+00:00;IMO $GOOG guide is going to be terrible on the call https://t.co/td2Bz0STaq;negative
1231;236595;2020-04-28 03:17:16+00:00;ExlService Holdings, Inc. $EXLS Short Interest Up 57.5% in April https://t.co/WoJVe37Wu2 #stocks;positive
946;852334;2020-07-10 05:12:36+00:00;"$AMD $NVDA $TSLA $NDX $SPY $AAPL $BABA $NFLX $ROKU $BA $COST $MCD $WMT $FB $VIX $ES $DKNG $ADBE
Click here to get instant updates and free trials. Join the link to https://t.co/USlOOzZoZk https://t.co/IOv4bn5M45";neutral
523;665225;2020-06-26 21:44:42+00:00;"20 retweets and likes for some trade ideas before they happen next week...go!!

$SPY $FB $TWLO $TSLA $AAPL $BYND $ES_F";positive
51;391857;2020-06-02 04:27:17+00:00;Check which story for #DowJones has the highest score $V $MMM $MCD https://t.co/8zP8MKc2dK https://t.co/uc6PfL9S6o;positive
6;472959;2020-06-09 05:23:06+00:00;$863.69 Million in Sales Expected for Spirit AeroSystems Holdings, Inc. $SPR This Quarter https://t.co/zoqBvspVSj #stocks;positive
1151;257512;2020-05-03 18:07:26+00:00;$spy $ES_F $spx to be honest, that 2538 unfilled gap is actually a double unfilled gap (was a island bottom gap) https://t.co/x00mm7dTc3;positive
61;678871;2020-06-26 03:35:35+00:00;"RT @FacelessTrader: We can $work from home, oh, oh, oh oh - Fifth Harmony
https://t.co/ZPFeSKXUDa

I dont care about Goldman Sachs downgrad…";positive
494;803621;2020-07-07 04:39:58+00:00;Spiking $AMZN $TSLA not about bubble. But personal issues between Elon and Musk. Whose dick is longer;negative
671;6998;2020-04-09 14:42:56+00:00;RT @amir: New: Microsoft’s rival to AWS, called @Azure, is a success but has buckled under recent covid-19-related pressure & also has had…;positive
463;51690;2020-04-14 17:15:13+00:00;Actionable Options Tuesday, April 14, 2020 $C $BAC https://t.co/s3WrFyfiTU;neutral
107;837369;2020-07-09 01:40:56+00:00;"RT @Reveretrading: July 9 Plan 📌

*Click on Picture to Expand* 

As always, very grateful for the feedback you guys give me. Best of luck t…";positive
227;345767;2020-05-28 08:34:01+00:00;RT @Tickeron: $AAPL enters an Uptrend as Momentum Indicator exceeded the 0 level on April 29, 2020. View odds for this and other indicators…;positive
314;242099;2020-04-29 20:15:48+00:00;$FB reports FQ1 earnings of $1.71 EPS and $17.74B Revs - https://t.co/g6Ov8jwf4X;neutral
826;388011;2020-06-02 13:57:11+00:00;RT @OphirGottlieb: $AAPL Apple cuts iPhone prices in China to keep momentum going as economy continues to reopen https://t.co/Dc3ug1II8N;negative
218;34879;2020-04-13 19:55:08+00:00;"We're still looking for someone else who can beat our performances!
Try free for 7 days https://t.co/7sAfbFrPQS
$BLK
Signal: ** BUY **
Since: 2020-04-06 
Our performance: % 4.87
https://t.co/wFFAizyE5U
#trading
#stocks
#stockstowatch
#stockstotrade
$SPX https://t.co/YAiAmYXJPb";positive
631;360636;2020-05-30 19:50:38+00:00;"RT @kerberos007: $SPX vs $CNH (Yuan) Jaws update

The jaws (risks & bubble) grew wider & wider like the ""inequality"" & social unrest

I nee…";negative
473;294837;2020-05-06 16:41:27+00:00;True Economics: 6/5/20: S&P500 and Fundamentals: What should matter, doesn't ... https://t.co/gg5jA2VE7p $SPX $SPY #corporatefinance #earnings #EPS #equities #financialrisk #investment #Markets #stocks #COVID19 #COVID2019;positive
604;719818;2020-06-30 14:14:50+00:00;ught $amzn 02JUL20 2730.00c;neutral
113;818322;2020-07-08 08:22:19+00:00;"GlaxoSmithKline ... sounds like a snobby law firm. It's #ThatOneAMCall and $GSK picking up $757 million; $PM tacking on another billion dollars, premarket. 

Tuesday*
Big sharks, taking out $2.4 million in call options, $EIX*

Dow futures, nice overnight rebound. Eyes: $MSFT https://t.co/F4lOMwY4Fz https://t.co/qqFhvGYp1S";positive
707;314814;2020-05-07 02:05:51+00:00;Avadel Pharmaceuticals PLC to Post Q2 2020 Earnings of -$0.17 Per Share, Piper Sandler Forecasts $AVDL https://t.co/VjqwKt3YC7 #stocks;negative
422;347152;2020-05-28 03:46:31+00:00;RT @rahulgchaudhary: The Day AppGet Died  by @kbeigi https://t.co/dDrYuhmKTm #Appget #Winget #Windows #Microsoft #Package #Management $MSFT…;negative
810;128631;2020-04-20 16:46:20+00:00;"RT @exis10tial: At some point, airlines are going to make sense to allocate into..

I don’t claim to know that specific level, but what I d…";neutral
544;753480;2020-07-02 13:23:40+00:00;@CryptoCrewNews I am hesitating between $FB, $TSLA and $QQQ puts? What puts do u have?;negative
1117;335896;2020-05-28 21:41:02+00:00;"Breakdown #stocks (sharp move below recent support)

$HPQ $MRO $TBLT $IRWD $DVN $WKHS $BCRX $CLR $AKBA $IOVA 

Sort results by Time, Chg, %, Vol and more.
#nyse #nasdaq
https://t.co/ntbYbUlrMe";negative
627;74853;2020-04-15 08:01:01+00:00;ADVFN Morning London Market Report: Wednesday 15 April 2020 #stocks #trading ... https://t.co/g3pXJY2JbS;neutral
912;886825;2020-07-13 06:49:02+00:00;#Dow E-mini #Futures #YM_F ⬆️177 Pts (0.68%) to 26,154. Check Advanced Futures Chart w/ Auto #Fibonacci Lines, Support & Resistance, Futures Money Flow Chart & Alert, Futures VWAP Chart #futurestrading #future #Investment #investing #stocks #StockMarket https://t.co/mzotIguudf https://t.co/WPSuzBV0B2;positive
284;327199;2020-05-08 03:24:56+00:00;Morning Market Report #Nifty #nifty50 #sensex #stocks #stockstowatch #Stock #share #sharemarket https://t.co/seCz2W3FuV;neutral
62;890244;2020-07-14 23:05:35+00:00;RT @The_Hedge_House: $DLPN Only ONE day removed from the misguided article that was intentionally published by @Benzinga 🤔. Please do not u…;neutral
493;367913;2020-05-31 13:21:26+00:00;Big Changes May Be Coming to Your Next Stimulus Check @themotleyfool #stocks  https://t.co/Ev0pFXKVRo;neutral
225;887685;2020-07-13 04:53:32+00:00;"RT @HedgeMind: IBM Retirement Fund, ~$800M, acquired many hot tech names as of 6/30:

Added new positions:
$ZM
$AYX
$TTD
$DDOG
$MDB
$AVLR
.…";positive
695;412002;2020-06-04 17:29:05+00:00;"""BIG #COMEBACK FOR CHINESE #LUCKIN #COFFEE ( $LK) TODAY"" ... Stock has rebounded by +72% to $4.45 so far today. Big buyers as shorts are trying to cover. Company is expanding like crazy. More stores than Starbucks in #China. https://t.co/bl22xbFYkX 
#stocks #trading #profits";positive
511;51797;2020-04-14 17:07:34+00:00;"RT @Investingcom: BREAKING:

*AMAZON SURGES TO NEW ALL-TIME HIGH ABOVE $2,270 AS #CORONAVIRUS LOCKDOWN BOOSTS DEMAND 

$AMZN https://t.co/O…";negative
101;7365;2020-04-09 14:26:09+00:00;$SPY $SPX $SPXS $SPXL $SPXU Technical Analysis of the SP500 and where I think it might be headed  https://t.co/wzZGqQPX91;neutral
1058;712511;2020-06-30 21:20:59+00:00;"RT @TheChartReport: Today's Chart of the Day was shared by @AlmanacTrader 

Click here to read more!

https://t.co/9o5YlPK7t6

#Seasonality…";neutral
649;336005;2020-05-28 21:28:47+00:00;"$TWTR $FB 

https://t.co/8ZsZjeBsJk";neutral
